id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komoditas,produksi_sayuran,satuan,tahun
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BLEWAH,0.0,TON,2013
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUNCIS,24912.0,TON,2013
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CABE BESAR,59280.0,TON,2013
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CABE RAWIT,37918.0,TON,2013
61,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JAMUR,745920.0,TON,2013
62,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KACANG MERAH,4662.0,TON,2013
63,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KACANG PANJANG,14354.0,TON,2013
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KANGKUNG,1205.0,TON,2013
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMBANG KOL,5872.0,TON,2013
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KENTANG,268.0,TON,2013
67,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KETIMUN,14267.0,TON,2013
68,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUBIS,23185.0,TON,2013
69,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LABU SIAM,3282.0,TON,2013
70,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LOBAK,4249.0,TON,2013
71,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MELON,0.0,TON,2013
72,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PAPRIKA,56.0,TON,2013
73,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PETSAI/SAWI,49826.0,TON,2013
74,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEMANGKA,0.0,TON,2013
75,32,JAWA BARAT,3203,KABUPATEN CIANJUR,STROBERI,0.0,TON,2013
76,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TERUNG,14819.0,TON,2013
77,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TOMAT,93383.0,TON,2013
78,32,JAWA BARAT,3203,KABUPATEN CIANJUR,WORTEL,37677.0,TON,2013
79,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAWANG DAUN,59050.0,TON,2013
80,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAWANG MERAH,31682.0,TON,2013
81,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAWANG PUTIH,1775.0,TON,2013
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYAM,1751.0,TON,2013
83,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BLEWAH,24.0,TON,2013
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUNCIS,17988.0,TON,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CABE BESAR,17524.0,TON,2013
86,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CABE RAWIT,8184.0,TON,2013
87,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JAMUR,233132.0,TON,2013
88,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KACANG MERAH,16179.0,TON,2013
89,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KACANG PANJANG,3487.0,TON,2013
90,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KANGKUNG,8676.0,TON,2013
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMBANG KOL,9773.0,TON,2013
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KENTANG,108631.0,TON,2013
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KETIMUN,16187.0,TON,2013
94,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUBIS,96700.0,TON,2013
95,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LABU SIAM,59991.0,TON,2013
96,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LOBAK,10964.0,TON,2013
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MELON,0.0,TON,2013
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PAPRIKA,167.0,TON,2013
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PETSAI/SAWI,70785.0,TON,2013
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SEMANGKA,0.0,TON,2013
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,STROBERI,84348.0,TON,2013
102,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TERUNG,4366.0,TON,2013
103,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TOMAT,64103.0,TON,2013
104,32,JAWA BARAT,3204,KABUPATEN BANDUNG,WORTEL,42496.0,TON,2013
105,32,JAWA BARAT,3205,KABUPATEN GARUT,BAWANG DAUN,45900.0,TON,2013
106,32,JAWA BARAT,3205,KABUPATEN GARUT,BAWANG MERAH,19728.0,TON,2013
107,32,JAWA BARAT,3205,KABUPATEN GARUT,BAWANG PUTIH,0.0,TON,2013
108,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYAM,1781.0,TON,2013
109,32,JAWA BARAT,3205,KABUPATEN GARUT,BLEWAH,0.0,TON,2013
110,32,JAWA BARAT,3205,KABUPATEN GARUT,BUNCIS,21631.0,TON,2013
111,32,JAWA BARAT,3205,KABUPATEN GARUT,CABE BESAR,93142.0,TON,2013
112,32,JAWA BARAT,3205,KABUPATEN GARUT,CABE RAWIT,38427.0,TON,2013
113,32,JAWA BARAT,3205,KABUPATEN GARUT,JAMUR,29499.0,TON,2013
114,32,JAWA BARAT,3205,KABUPATEN GARUT,KACANG MERAH,41824.0,TON,2013
115,32,JAWA BARAT,3205,KABUPATEN GARUT,KACANG PANJANG,17801.0,TON,2013
116,32,JAWA BARAT,3205,KABUPATEN GARUT,KANGKUNG,6403.0,TON,2013
117,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMBANG KOL,2258.0,TON,2013
118,32,JAWA BARAT,3205,KABUPATEN GARUT,KENTANG,129083.0,TON,2013
119,32,JAWA BARAT,3205,KABUPATEN GARUT,KETIMUN,19506.0,TON,2013
120,32,JAWA BARAT,3205,KABUPATEN GARUT,KUBIS,155701.0,TON,2013
121,32,JAWA BARAT,3205,KABUPATEN GARUT,LABU SIAM,13324.0,TON,2013
122,32,JAWA BARAT,3205,KABUPATEN GARUT,LOBAK,0.0,TON,2013
123,32,JAWA BARAT,3205,KABUPATEN GARUT,MELON,0.0,TON,2013
124,32,JAWA BARAT,3205,KABUPATEN GARUT,PAPRIKA,108.0,TON,2013
125,32,JAWA BARAT,3205,KABUPATEN GARUT,PETSAI/SAWI,55861.0,TON,2013
126,32,JAWA BARAT,3205,KABUPATEN GARUT,SEMANGKA,0.0,TON,2013
127,32,JAWA BARAT,3205,KABUPATEN GARUT,STROBERI,1483.0,TON,2013
128,32,JAWA BARAT,3205,KABUPATEN GARUT,TERUNG,22389.0,TON,2013
129,32,JAWA BARAT,3205,KABUPATEN GARUT,TOMAT,125302.0,TON,2013
130,32,JAWA BARAT,3205,KABUPATEN GARUT,WORTEL,37924.0,TON,2013
131,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAWANG DAUN,2598.0,TON,2013
132,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAWANG MERAH,90.0,TON,2013
133,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAWANG PUTIH,0.0,TON,2013
134,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYAM,655.0,TON,2013
135,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BLEWAH,0.0,TON,2013
136,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUNCIS,4251.0,TON,2013
137,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CABE BESAR,23476.0,TON,2013
138,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CABE RAWIT,2898.0,TON,2013
139,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JAMUR,296222.0,TON,2013
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KACANG MERAH,782.0,TON,2013
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KACANG PANJANG,6488.0,TON,2013
142,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KANGKUNG,1361.0,TON,2013
143,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMBANG KOL,246.0,TON,2013
144,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KENTANG,123.0,TON,2013
145,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KETIMUN,8014.0,TON,2013
146,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUBIS,1638.0,TON,2013
147,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LABU SIAM,895.0,TON,2013
148,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LOBAK,0.0,TON,2013
149,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MELON,0.0,TON,2013
150,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PAPRIKA,0.0,TON,2013
151,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PETSAI/SAWI,2075.0,TON,2013
152,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SEMANGKA,0.0,TON,2013
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,STROBERI,812.0,TON,2013
154,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TERUNG,2439.0,TON,2013
155,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TOMAT,4518.0,TON,2013
156,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,WORTEL,88.0,TON,2013
157,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAWANG DAUN,2784.0,TON,2013
158,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAWANG MERAH,0.0,TON,2013
159,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAWANG PUTIH,0.0,TON,2013
160,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYAM,586.0,TON,2013
161,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BLEWAH,0.0,TON,2013
162,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUNCIS,1601.0,TON,2013
163,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CABE BESAR,5937.0,TON,2013
